"SmedID","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","annotations","tissue"
"SMED30001359",0,-0.258676638634726,0.26,0.394,0,3,"Neuroblast differentiation-associated protein AHNAK","Protonephridia"
"SMED30001359",0,0.624045880984858,0.625,0.365,0,2,"Neuroblast differentiation-associated protein AHNAK","Epidermis"
"SMED30001362",0,0.454044143353507,0.549,0.167,0,4,"SMEDWI-3","Stem Cells"
"SMED30001362",9.03760980654896e-161,0.337027395877852,0.489,0.185,3.04287284576697e-156,56,"SMEDWI-3","Neural"
"SMED30001376",2.80411902922727e-25,-0.313409083595106,0.258,0.35,9.44118835950528e-21,37,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",3.78537482988236e-52,-0.327504604824884,0.235,0.35,1.27449785147309e-47,23,"Collagen alpha-1(IV) chain","Protonephridia"
"SMED30001376",5.97721422181595e-194,-0.375049870793948,0.233,0.353,2.01246825634321e-189,8,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",2.10713719317555e-131,-0.363384674527291,0.22,0.352,7.09452021570277e-127,12,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",0,-0.53823772817091,0.136,0.361,0,3,"Collagen alpha-1(IV) chain","Protonephridia"
"SMED30001376",0.000207304151633937,-0.250432288085629,0.274,0.349,1,85,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",1.49573271833332e-11,-0.366012468517707,0.206,0.349,5.03598248935646e-07,84,"Collagen alpha-1(IV) chain","Parenchymal"
"SMED30001376",7.68464209001435e-43,-0.31749038094094,0.244,0.35,2.58734214528693e-38,26,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",1.91671516552147e-24,-0.34446807499193,0.233,0.35,6.45338829079424e-20,51,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",4.29812427572696e-124,-0.356531457075191,0.214,0.352,1.44713546239451e-119,13,"Collagen alpha-1(IV) chain","Epidermis"
"SMED30001376",1.0062886786731e-116,-0.319015157808776,0.235,0.352,3.38807335222446e-112,10,"Collagen alpha-1(IV) chain","Cathepsin"
"SMED30001376",2.8457023639434e-27,-0.266061440577604,0.251,0.35,9.58119528916104e-23,31,"Collagen alpha-1(IV) chain","Cathepsin"
"SMED30001376",4.73474093804772e-15,-0.254696291905387,0.272,0.35,1.59413992643129e-10,41,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",8.67445970440792e-30,-0.329382565105288,0.227,0.35,2.9206038378771e-25,42,"Collagen alpha-1(IV) chain","Parenchymal"
"SMED30001376",5.92469707233476e-45,-0.359336810901755,0.211,0.35,1.99478625728439e-40,35,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",6.93162016110629e-05,-0.278228013838525,0.243,0.349,1,87,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",2.77643889228916e-163,-0.314200366084098,0.238,0.353,9.34799210644839e-159,6,"Collagen alpha-1(IV) chain","Intestine"
"SMED30001376",2.31657927956575e-19,-0.300330966368221,0.246,0.35,7.79969077636992e-15,49,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",7.82023252295491e-174,-0.389457402371869,0.205,0.353,2.63299408815369e-169,11,"Collagen alpha-1(IV) chain","Protonephridia"
"SMED30001376",2.21402439229092e-09,-0.303027639913179,0.235,0.349,7.45439872640431e-05,81,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",2.06094888649792e-10,-0.323194016496513,0.241,0.349,6.93900880594985e-06,79,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",3.42173401940687e-29,-0.285875550956542,0.261,0.35,1.1520636269941e-24,27,"Collagen alpha-1(IV) chain","Cathepsin"
"SMED30001376",1.65229746355678e-36,-0.26204521289725,0.277,0.35,5.56312033004931e-32,15,"Collagen alpha-1(IV) chain","Intestine"
"SMED30001376",4.36833723321474e-270,-0.381416766225716,0.202,0.354,1.47077546305107e-265,7,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",9.54410650774171e-23,-0.375476856181166,0.191,0.35,3.21340522009156e-18,66,"Collagen alpha-1(IV) chain","Parenchymal"
"SMED30001376",2.90949870302997e-15,-0.29235771374272,0.247,0.35,9.79599118323162e-11,59,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",0,0.972257839334788,0.904,0.295,0,0,"Collagen alpha-1(IV) chain","Muscle"
"SMED30001376",1.3018529203491e-28,-0.296575148834583,0.258,0.35,4.38320859752339e-24,29,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",8.97612259819572e-52,-0.298449126467296,0.243,0.351,3.02217071758652e-47,19,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",1.03087372714792e-16,-0.330772241841854,0.232,0.35,3.47084875193434e-12,61,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",2.0539728058011e-88,-0.375221877630679,0.206,0.351,6.91552103985173e-84,20,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",4.04271047705835e-126,-0.285523429501847,0.257,0.353,1.36114019052078e-121,5,"Collagen alpha-1(IV) chain","Cathepsin"
"SMED30001376",0,1.21088009628,0.966,0.331,0,9,"Collagen alpha-1(IV) chain","Muscle"
"SMED30001376",2.86177508182303e-78,-0.32710533686129,0.225,0.351,9.63531052298995e-74,17,"Collagen alpha-1(IV) chain","Epidermis"
"SMED30001376",2.38094029128355e-19,-0.343139044303669,0.257,0.35,8.01638786672259e-15,52,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",0,-0.477317951923582,0.179,0.365,0,2,"Collagen alpha-1(IV) chain","Epidermis"
"SMED30001376",4.34217524050591e-24,-0.367859312591766,0.211,0.35,1.46196698172593e-19,60,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",0,1.27309171275662,0.9,0.344,0,24,"Collagen alpha-1(IV) chain","Muscle"
"SMED30001376",7.28184811908717e-11,-0.270500768396103,0.28,0.35,2.45172544321546e-06,54,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",3.73791496321341e-16,-0.299067901353293,0.244,0.35,1.25851858896432e-11,58,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",1.14231157785189e-27,-0.303980072902975,0.267,0.35,3.84604885146954e-23,28,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",1.05462253344861e-25,-0.328644249660068,0.227,0.35,3.55080860786812e-21,47,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",2.8943573361196e-14,-0.304957804509692,0.246,0.35,9.74501171498109e-10,62,"Collagen alpha-1(IV) chain","Neural"
"SMED30001376",4.02942125144336e-190,0.599834613607297,0.883,0.348,1.35666584114847e-185,73,"Collagen alpha-1(IV) chain","Protonephridia"
"SMED30001376",1.36877620366998e-10,-0.272315314531403,0.285,0.35,4.60853260013647e-06,53,"Collagen alpha-1(IV) chain","Neural"
"SMED30001408",0,0.270354576604634,0.272,0.043,0,50,"Receptor-type tyrosine-protein phosphatase S","Neural"
"SMED30001408",5.21300909750904e-235,0.253003619539425,0.269,0.044,1.75516803304032e-230,61,"Receptor-type tyrosine-protein phosphatase S","Neural"
"SMED30001408",0,0.300741928451499,0.338,0.041,0,20,"Receptor-type tyrosine-protein phosphatase S","Neural"
"SMED30001473",0,0.41522713842041,0.449,0.071,0,7,"Lipoxygenase homology domain-containing protein 1","Neural"
"SMED30001479",0,0.601820660441217,0.496,0.107,0,2,NA,"Epidermis"
"SMED30001479",0,0.403317904743615,0.436,0.129,0,7,NA,"Neural"
"SMED30001480",0,0.26994795908074,0.26,0.029,0,66,"Serine threonine-protein kinase","Parenchymal"
"SMED30001493",0,0.302636115547931,0.313,0.015,0,71,"Calcium-activated potassium channel slo-1","Neural"
"SMED30001497",0,0.375898826442958,0.5,0.127,0,24,"Rho guanine nucleotide exchange factor 17","Muscle"
"SMED30001497",0,0.48201799521122,0.547,0.09,0,0,"Rho guanine nucleotide exchange factor 17","Muscle"
"SMED30001497",0,0.589870515943318,0.683,0.114,0,9,"Rho guanine nucleotide exchange factor 17","Muscle"
"SMED30001497",8.48554510086074e-175,0.345662097465285,0.511,0.13,2.8569981800088e-170,73,"Rho guanine nucleotide exchange factor 17","Protonephridia"
"SMED30001527",0,0.34657540058493,0.309,0.031,0,5,"Ankyrin repeat domain-containing protein 12","Cathepsin"
"SMED30001553",0,0.404149128832394,0.397,0.001,0,37,"Cysteine-rich venom protein","Neural"
"SMED30001567",0,0.300964924172978,0.278,0.004,0,17,NA,"Epidermis"
"SMED30001635",0,0.332321898355999,0.274,0.041,0,6,"Cathepsin B","Intestine"
"SMED30001657",0,0.298920727101103,0.355,0.068,0,24,"Paramyosin","Muscle"
"SMED30001657",0,0.277101060920771,0.311,0.047,0,0,"Paramyosin","Muscle"
"SMED30001679",0,0.687683942626679,0.716,0.29,0,54,"Calcium-transporting ATPase","Neural"
"SMED30001679",0,0.250232418546567,0.594,0.283,0,9,"Calcium-transporting ATPase","Muscle"
"SMED30001679",1.47367536338671e-150,0.514806607271239,0.648,0.291,4.96171758098671e-146,63,"Calcium-transporting ATPase","Neural"
"SMED30001679",0,0.300661530479883,0.571,0.265,0,0,"Calcium-transporting ATPase","Muscle"
"SMED30001679",4.85286769559949e-83,0.313522200074238,0.572,0.291,1.63391202443139e-78,62,"Calcium-transporting ATPase","Neural"
"SMED30001679",2.88798614385624e-279,0.376021733503327,0.659,0.289,9.72356054774957e-275,37,"Calcium-transporting ATPase","Neural"
"SMED30001679",0,0.520331809548502,0.714,0.288,0,26,"Calcium-transporting ATPase","Neural"
"SMED30001679",1.76856836674631e-300,0.477502246685832,0.748,0.29,5.95459283399816e-296,52,"Calcium-transporting ATPase","Neural"
"SMED30001679",1.10027883242255e-101,0.270239469302232,0.561,0.291,3.70452880088348e-97,51,"Calcium-transporting ATPase","Neural"
"SMED30001679",0,-0.279876387287154,0.09,0.31,0,2,"Calcium-transporting ATPase","Epidermis"
"SMED30001679",8.10487365927287e-105,0.372183219025689,0.575,0.291,2.72882991234058e-100,60,"Calcium-transporting ATPase","Neural"
"SMED30001679",0,-0.274304077848978,0.094,0.303,0,3,"Calcium-transporting ATPase","Protonephridia"
"SMED30001679",3.83349473868007e-135,0.26109517776,0.519,0.29,1.29069934356619e-130,29,"Calcium-transporting ATPase","Neural"
"SMED30001715",0,0.33939810120625,0.34,0.001,0,37,NA,"Neural"
"SMED30001782",0,0.589088984698446,0.535,0.065,0,11,"Titin, putative","Protonephridia"
"SMED30001806",0,1.22845963984335,0.997,0,0,85,"TPA_inf: neuropeptide precursor-5","Neural"
"SMED30001807",0,0.381146862181706,0.559,0.187,0,24,"Paramyosin","Muscle"
"SMED30001807",0,0.746862088617636,0.686,0.143,0,0,"Paramyosin","Muscle"
"SMED30001807",3.64937947333691e-130,0.331514424534264,0.583,0.19,1.22870957487781e-125,73,"Paramyosin","Protonephridia"
"SMED30001807",0,0.399687317991959,0.603,0.179,0,9,"Paramyosin","Muscle"
"SMED30001808",0,0.289524244953384,0.295,0.039,0,48,"Calcium-transporting ATPase","Neural"
"SMED30001808",0,0.280398625791029,0.276,0.037,0,23,"Calcium-transporting ATPase","Protonephridia"
"SMED30001826",0,0.345010025091293,0.298,0.019,0,31,NA,"Cathepsin"
"SMED30001853",1.31326247735458e-208,0.266947743311546,0.27,0.068,4.42162343500512e-204,45,"Tyrosine-protein kinase","Cathepsin"
"SMED30001853",0,0.26920082753056,0.316,0.067,0,31,"Tyrosine-protein kinase","Cathepsin"
"SMED30001861",0,0.297398246593945,0.261,0.002,0,23,"Sodium/potassium/calcium exchanger 6","Protonephridia"
"SMED30002038",0,0.346162803676196,0.408,0.076,0,26,"Calsyntenin 1","Neural"
"SMED30002040",0,0.97757473264298,0.903,0.088,0,73,"Endothelin-converting enzyme 1","Protonephridia"
"SMED30002040",0,1.31575909946102,0.857,0.047,0,3,"Endothelin-converting enzyme 1","Protonephridia"
"SMED30002064",0,0.368762193595597,0.434,0.096,0,20,"Doublecortin domain-containing protein 2","Neural"
"SMED30002072",0,0.820106472575998,0.945,0.011,0,76,"Intermediate filament b-like protein","Epidermis"
"SMED30002134",0,0.730080247902538,0.579,0.018,0,13,NA,"Epidermis"
"SMED30002142",0,0.428188665346692,0.41,0.031,0,10,"Sarcosine dehydrogenase, mitochondrial","Cathepsin"
"SMED30002156",5.80407556533098e-78,0.256402694169464,0.41,0.219,1.95417420209129e-73,45,"TNF receptor associated factor 4","Cathepsin"
"SMED30002156",0,0.273925995195672,0.427,0.213,0,6,"TNF receptor associated factor 4","Intestine"
"SMED30002156",0,0.320974584108129,0.475,0.197,0,2,"TNF receptor associated factor 4","Epidermis"
"SMED30002168",0,0.589557048545607,0.364,0.064,0,47,"Spondin-1","Neural"
"SMED30002168",0,0.329554922837098,0.346,0.064,0,54,"Spondin-1","Neural"
"SMED30002168",0,0.636184529678762,0.461,0.064,0,58,"Spondin-1","Neural"
"SMED30002168",0,0.874096375342264,0.521,0.063,0,48,"Spondin-1","Neural"
"SMED30002175",0,0.421457149138877,0.119,0.001,0,84,"Venom allergen","Parenchymal"
"SMED30002255",0,0.343198228885862,0.412,0.074,0,37,"Regulating synaptic membrane exocytosis protein 2","Neural"
"SMED30002255",0,0.297539027064594,0.378,0.075,0,52,"Regulating synaptic membrane exocytosis protein 2","Neural"
"SMED30002255",3.40195281340876e-79,0.267338782163123,0.327,0.075,1.1454034927466e-74,84,"Regulating synaptic membrane exocytosis protein 2","Parenchymal"
"SMED30002274",0,0.306211897983758,0.334,0.025,0,9,NA,"Muscle"
"SMED30002285",0,0.389246595990867,0.374,0.001,0,37,NA,"Neural"
"SMED30002304",0,0.288317505325776,0.301,0.021,0,3,NA,"Protonephridia"
"SMED30002314",0,0.770952402926257,0.627,0.06,0,31,NA,"Cathepsin"
"SMED30002314",0,0.343365294895834,0.333,0.063,0,45,NA,"Cathepsin"
"SMED30002314",0,0.302910755685318,0.317,0.055,0,5,NA,"Cathepsin"
"SMED30002314",0,0.262139787790064,0.305,0.059,0,10,NA,"Cathepsin"
"SMED30002327",0,0.330581220648143,0.35,0.046,0,10,"Tectonin beta-propeller repeat-containing protein 2","Cathepsin"
"SMED30002352",0,0.251904031474999,0.232,0.003,0,52,NA,"Neural"
"SMED30002414",0,0.26747204550245,0.255,0.017,0,60,"Delta-like protein","Neural"
"SMED30002454",0,0.259271336788725,0.343,0.086,0,13,"Staphylococcal nuclease domain-containing protein 1","Epidermis"
"SMED30002469",0,0.675561807455568,0.498,0.008,0,63,"TPA_inf: pedal peptide prohormone like-1","Neural"
"SMED30002469",0,0.444106915451094,0.366,0.008,0,51,"TPA_inf: pedal peptide prohormone like-1","Neural"
"SMED30002513",0,0.361177244492484,0.281,0.012,0,15,"Histidine ammonia-lyase","Intestine"
"SMED30002545",0,0.479429201041359,0.441,0.001,0,60,"Myomodulin prohormone like-2","Neural"
"SMED30002609",4.33470843464701e-244,0.328221667101077,0.492,0.152,1.4594529828613e-239,52,"Liprin alpha 2","Neural"
"SMED30002609",8.72335814499056e-283,0.312460156624345,0.447,0.151,2.93706745383687e-278,37,"Liprin alpha 2","Neural"
"SMED30002634",0,0.670436427922255,0.665,0.046,0,25,"Cysteine-rich venom protein","Neural"
"SMED30002634",0,3.11731499188759,0.991,0.046,0,37,"Cysteine-rich venom protein","Neural"
"SMED30002655",0,0.257206773519736,0.274,0.038,0,2,"ADAMTS-like protein 3","Epidermis"
"SMED30002656",0,0.388663583002245,0.446,0.072,0,3,"Unconventional myosin-XV","Protonephridia"
"SMED30002656",0,0.250267133166907,0.313,0.072,0,2,"Unconventional myosin-XV","Epidermis"
"SMED30002668",0,0.296677837284152,0.307,0.073,0,5,"SCO-spondin","Cathepsin"
"SMED30002668",1.04722160740586e-265,0.34264152658295,0.325,0.08,3.52589042997478e-261,45,"SCO-spondin","Cathepsin"
"SMED30002689",0,0.573154469428933,0.382,0.003,0,21,NA,"Epidermis"
"SMED30002690",3.55646160093475e-202,0.304014692673532,0.319,0.075,1.19742505641872e-197,58,"HEAT repeat-containing protein 5B","Neural"
"SMED30002690",0,0.282126029699635,0.354,0.074,0,26,"HEAT repeat-containing protein 5B","Neural"
"SMED30002697",0,0.63003547334628,0.458,0.004,0,42,NA,"Parenchymal"
"SMED30002753",0,0.464324885374121,0.382,0.009,0,49,NA,"Neural"
"SMED30002847",0,0.38659253536525,0.306,0.003,0,19,"Asic","Neural"
"SMED30002896",0,0.268632302581296,0.347,0.085,0,37,"Zinc finger protein 845","Neural"
"SMED30002902",0,0.427045008652046,0.516,0.168,0,31,"Triple functional domain protein","Cathepsin"
"SMED30002911",0,0.299635518464325,0.167,0.003,0,15,"Lipase","Intestine"
"SMED30002946",0,0.769490954330307,0.625,0.025,0,35,"PKD1L-1","Neural"
"SMED30002946",0,0.576176081846861,0.361,0.017,0,7,"PKD1L-1","Neural"
"SMED30002969",0,0.96154286071065,0.922,0.003,0,56,"Transcription factor 7-like 2","Neural"
"SMED30002983",0,0.273759363995277,0.383,0.084,0,9,"Tropomyosin-2","Muscle"
"SMED30002983",0,0.377809879895026,0.454,0.089,0,24,"Tropomyosin-2","Muscle"
"SMED30002983",0,0.421883863544946,0.449,0.058,0,0,"Tropomyosin-2","Muscle"
"SMED30002992",0,0.306447474881776,0.296,0.007,0,17,NA,"Epidermis"
"SMED30002995",0,0.371015610177924,0.314,0.001,0,19,NA,"Neural"
"SMED30003010",0,0.325837931962153,0.275,0.005,0,54,NA,"Neural"
"SMED30003010",0,0.351004922758684,0.217,0.006,0,79,NA,"Neural"
"SMED30003010",0,0.785335052762894,0.645,0.005,0,71,NA,"Neural"
"SMED30003013",0,0.295356994484416,0.249,0.003,0,10,"Cytochrome P450 2C-like protein","Cathepsin"
"SMED30003121",0,0.443977077015626,0.428,0.012,0,20,"Transient receptor potential cation channel subfamily A member 1","Neural"
"SMED30003156",1.44630966363725e-235,0.257751464079422,0.301,0.059,4.86958000650025e-231,59,"slc15a-1","Neural"
"SMED30003174",0,0.946520200243298,0.471,0.001,0,67,NA,"Parenchymal"
"SMED30003192",0,0.405827657454783,0.39,0.003,0,20,NA,"Neural"
"SMED30003228",0,0.282433210196336,0.252,0.046,0,21,"Unconventional myosin-VIIa","Epidermis"
"SMED30003251",0,0.636499381427864,0.588,0.067,0,31,"Tyrosine-protein kinase SPK-1","Cathepsin"
"SMED30003346",2.73414556453187e-183,0.511467489733024,0.531,0.124,9.20559470122236e-179,81,"slc12a-4","Neural"
"SMED30003346",0,0.658651545573259,0.399,0.122,0,23,"slc12a-4","Protonephridia"
"SMED30003346",1.51416362128594e-125,0.281645166127401,0.348,0.124,5.09803749650763e-121,53,"slc12a-4","Neural"
"SMED30003346",0,0.336995231665024,0.39,0.116,0,8,"slc12a-4","Neural"
"SMED30003372",0,0.342404235013107,0.265,0.017,0,67,NA,"Parenchymal"
"SMED30003372",0,0.415084952040472,0.264,0.014,0,15,NA,"Intestine"
"SMED30003374",5.07436445658352e-188,0.291787253619409,0.358,0.108,1.70848776888711e-183,50,"Spectrin beta chain","Neural"
"SMED30003374",0,0.642886249038642,0.661,0.102,0,20,"Spectrin beta chain","Neural"
"SMED30003374",0,0.350707906535042,0.457,0.102,0,12,"Spectrin beta chain","Neural"
"SMED30003374",9.67370559370283e-307,0.338585446547643,0.396,0.107,3.25703993634381e-302,42,"Spectrin beta chain","Parenchymal"
"SMED30003374",0,0.318573834026031,0.397,0.106,0,29,"Spectrin beta chain","Neural"
"SMED30003374",0,0.44192074685176,0.508,0.106,0,35,"Spectrin beta chain","Neural"
"SMED30003374",6.76877898320521e-274,0.409964549100879,0.504,0.108,2.27898019585536e-269,66,"Spectrin beta chain","Parenchymal"
"SMED30003374",0,0.485417475013161,0.538,0.094,0,7,"Spectrin beta chain","Neural"
"SMED30003384",5.73957465675675e-264,0.335620915096116,0.37,0.076,1.93245739118343e-259,60,NA,"Neural"
"SMED30003384",0,0.758037169558432,0.65,0.066,0,12,NA,"Neural"
"SMED30003384",0,0.554926024405002,0.577,0.071,0,20,NA,"Neural"
"SMED30003453",3.77820801428069e-103,0.337753273631434,0.329,0.045,1.27208485632817e-98,87,"Glutamate receptor ionotropic, kainate 3","Neural"
"SMED30003463",0,0.430247563501327,0.422,0.009,0,26,"slc30a-8","Neural"
"SMED30003463",0,0.494578708029828,0.515,0.011,0,52,"slc30a-8","Neural"
"SMED30003470",0,0.299808919203311,0.171,0,0,68,"Rapunzel","Intestine"
"SMED30003482",0,0.506494439352558,0.447,0.034,0,66,"78 kDa glucose-regulated protein","Parenchymal"
"SMED30003482",1.41409227297506e-302,0.403061799399726,0.284,0.035,4.76110727387975e-298,67,"78 kDa glucose-regulated protein","Parenchymal"
"SMED30003490",0,0.941581276271257,0.775,0.067,0,37,"Otoferlin","Neural"
"SMED30003490",6.40985233940273e-187,0.379792523216469,0.345,0.07,2.15813318415351e-182,67,"Otoferlin","Parenchymal"
"SMED30003490",0,1.77267685316289,0.985,0.067,0,52,"Otoferlin","Neural"
"SMED30003490",0,0.759182250912988,0.616,0.069,0,54,"Otoferlin","Neural"
"SMED30003490",0,0.731221088492906,0.478,0.066,0,18,"Otoferlin","Neural"
"SMED30003490",0,0.292703619619711,0.328,0.068,0,19,"Otoferlin","Neural"
"SMED30003490",0,0.536253192142766,0.444,0.07,0,59,"Otoferlin","Neural"
"SMED30003492",0,0.27442514219422,0.344,0.09,0,2,"Ankyrin-3","Epidermis"
"SMED30003507",0,0.269898630317558,0.349,0.075,0,12,"Adenylate kinase 9","Neural"
"SMED30003510",0,1.46520624273478,0.695,0.028,0,19,"Sodium channel protein","Neural"
"SMED30003510",0,0.299897553248607,0.328,0.035,0,62,"Sodium channel protein","Neural"
"SMED30003510",0,1.00853998235989,0.6,0.033,0,41,"Sodium channel protein","Neural"
"SMED30003510",0,0.439437213495506,0.427,0.035,0,63,"Sodium channel protein","Neural"
"SMED30003510",0,0.94564662024432,0.663,0.035,0,71,"Sodium channel protein","Neural"
"SMED30003560",1.38435094818512e-127,0.308044298992276,0.48,0.214,4.66097120744448e-123,51,"Teneurin-m-like Protein","Neural"
"SMED30003560",6.73891406941193e-155,0.368379718903996,0.493,0.214,2.2689249780303e-150,48,"Teneurin-m-like Protein","Neural"
