SmedID,p_val,avg_logFC,pct.1,pct.2,p_val_adj,cluster,gene,tissue,annotations
SMED30001479,2.89E-258,0.425155444,0.434,0.083,8.15E-254,Cathepsin13,SMED30001479,Cathepsin,NA
SMED30001479,2.68E-89,0.295941734,0.385,0.089,7.56E-85,Cathepsin16,SMED30001479,Cathepsin,NA
SMED30001480,1.05E-240,0.324209427,0.333,0.052,2.97E-236,Cathepsin12,SMED30001480,Cathepsin,Serine threonine-protein kinase
SMED30001497,0,0.524561493,0.55,0.051,0,Cathepsin7,SMED30001497,Cathepsin,Rho guanine nucleotide exchange factor 17
SMED30001527,2.86E-302,0.393894831,0.475,0.133,8.08E-298,Cathepsin6,SMED30001527,Cathepsin,Ankyrin repeat domain-containing protein 12
SMED30001527,0,0.37250299,0.437,0.119,0,Cathepsin1,SMED30001527,Cathepsin,Ankyrin repeat domain-containing protein 12
SMED30001679,4.22E-85,0.315157293,0.572,0.239,1.19E-80,Cathepsin14,SMED30001679,Cathepsin,Calcium-transporting ATPase
SMED30001679,1.16E-187,0.306544828,0.576,0.227,3.27E-183,Cathepsin7,SMED30001679,Cathepsin,Calcium-transporting ATPase
SMED30001679,1.15E-45,-0.251328019,0.067,0.256,3.24E-41,Cathepsin9,SMED30001679,Cathepsin,Calcium-transporting ATPase
SMED30001679,0,0.461670144,0.595,0.218,0,Cathepsin3,SMED30001679,Cathepsin,Calcium-transporting ATPase
SMED30001782,1.62E-173,0.266764733,0.262,0.036,4.58E-169,Cathepsin15,SMED30001782,Cathepsin,"Titin, putative"
SMED30001807,0,0.640101908,0.645,0.106,0,Cathepsin7,SMED30001807,Cathepsin,Paramyosin
SMED30001826,0,0.355308451,0.318,0.036,0,Cathepsin5,SMED30001826,Cathepsin,NA
SMED30001853,7.28E-64,0.281244296,0.411,0.188,2.06E-59,Cathepsin12,SMED30001853,Cathepsin,Tyrosine-protein kinase
SMED30002040,0,0.911798894,0.62,0.04,0,Cathepsin15,SMED30002040,Cathepsin,Endothelin-converting enzyme 1
SMED30002142,1.13E-151,0.320136416,0.45,0.143,3.18E-147,Cathepsin10,SMED30002142,Cathepsin,"Sarcosine dehydrogenase, mitochondrial"
SMED30002142,0,0.455365037,0.518,0.124,0,Cathepsin3,SMED30002142,Cathepsin,"Sarcosine dehydrogenase, mitochondrial"
SMED30002156,1.51E-160,0.285511611,0.531,0.301,4.27E-156,Cathepsin1,SMED30002156,Cathepsin,TNF receptor associated factor 4
SMED30002156,1.90E-43,0.253144769,0.532,0.32,5.37E-39,Cathepsin12,SMED30002156,Cathepsin,TNF receptor associated factor 4
SMED30002314,1.83E-177,-0.305217463,0.079,0.324,5.17E-173,Cathepsin0,SMED30002314,Cathepsin,NA
SMED30002314,2.25E-296,0.557175675,0.638,0.267,6.35E-292,Cathepsin5,SMED30002314,Cathepsin,NA
SMED30002327,0,0.336173649,0.45,0.133,0,Cathepsin3,SMED30002327,Cathepsin,Tectonin beta-propeller repeat-containing protein 2
SMED30002668,1.47E-294,0.362951347,0.478,0.188,4.16E-290,Cathepsin1,SMED30002668,Cathepsin,SCO-spondin
SMED30002668,2.42E-79,0.364575837,0.473,0.213,6.84E-75,Cathepsin12,SMED30002668,Cathepsin,SCO-spondin
SMED30002725,0,0.406432992,0.328,0.017,0,Cathepsin10,SMED30002725,Cathepsin,Beta-lactamase-like protein 3
SMED30002799,0,0.288646058,0.268,0.005,0,Cathepsin8,SMED30002799,Cathepsin,NA
SMED30002902,1.66E-228,0.397413624,0.536,0.213,4.68E-224,Cathepsin5,SMED30002902,Cathepsin,Triple functional domain protein
SMED30002925,3.75E-250,0.349636906,0.399,0.081,1.06E-245,Cathepsin10,SMED30002925,Cathepsin,Delta-like protein
SMED30002946,0,0.550704976,0.406,0.01,0,Cathepsin16,SMED30002946,Cathepsin,PKD1L-1
SMED30002983,0,0.334192097,0.375,0.033,0,Cathepsin7,SMED30002983,Cathepsin,Tropomyosin-2
SMED30003013,8.18E-278,0.317491588,0.356,0.059,2.31E-273,Cathepsin10,SMED30003013,Cathepsin,Cytochrome P450 2C-like protein
SMED30003013,0,0.409575705,0.381,0.044,0,Cathepsin3,SMED30003013,Cathepsin,Cytochrome P450 2C-like protein
SMED30003251,0,0.535363605,0.611,0.18,0,Cathepsin5,SMED30003251,Cathepsin,Tyrosine-protein kinase SPK-1
SMED30003346,6.96E-308,0.753614264,0.696,0.086,1.97E-303,Cathepsin17,SMED30003346,Cathepsin,slc12a-4
SMED30003374,0,0.45612193,0.534,0.053,0,Cathepsin16,SMED30003374,Cathepsin,Spectrin beta chain
SMED30003374,4.06E-157,0.273712342,0.303,0.054,1.15E-152,Cathepsin14,SMED30003374,Cathepsin,Spectrin beta chain
SMED30003384,1.77E-262,0.377998397,0.333,0.041,5.00E-258,Cathepsin14,SMED30003384,Cathepsin,NA
SMED30003384,3.18E-145,0.274704998,0.325,0.045,8.98E-141,Cathepsin16,SMED30003384,Cathepsin,NA
SMED30003492,2.09E-83,0.284822906,0.443,0.182,5.91E-79,Cathepsin12,SMED30003492,Cathepsin,Ankyrin-3
SMED30003492,5.47E-223,0.269872069,0.406,0.163,1.55E-218,Cathepsin1,SMED30003492,Cathepsin,Ankyrin-3
SMED30003501,2.14E-191,0.265659619,0.391,0.169,6.04E-187,Cathepsin1,SMED30003501,Cathepsin,Immunoglobulin domain
SMED30003560,4.54E-151,0.486280509,0.557,0.207,1.28E-146,Cathepsin12,SMED30003560,Cathepsin,Teneurin-m-like Protein
SMED30003562,0,1.130106677,0.864,0.165,0,Cathepsin7,SMED30003562,Cathepsin,Collagen alpha-1(V) chain
SMED30003562,3.73E-29,-0.256249952,0.074,0.212,1.05E-24,Cathepsin9,SMED30003562,Cathepsin,Collagen alpha-1(V) chain
SMED30003660,2.40E-186,0.407081418,0.456,0.118,6.79E-182,Cathepsin12,SMED30003660,Cathepsin,Cytoplasmic dynein 1 heavy chain 1
SMED30003660,0,0.435138874,0.458,0.086,0,Cathepsin1,SMED30003660,Cathepsin,Cytoplasmic dynein 1 heavy chain 1
SMED30003822,0,0.898594465,0.725,0.021,0,Cathepsin8,SMED30003822,Cathepsin,Receptor-type tyrosine-protein phosphatase T
SMED30003829,1.73E-113,0.278952013,0.418,0.136,4.88E-109,Cathepsin13,SMED30003829,Cathepsin,Ankyrin-1
SMED30003863,7.05E-142,0.318543774,0.44,0.143,1.99E-137,Cathepsin10,SMED30003863,Cathepsin,Cat eye syndrome critical region protein 5 homolog
SMED30003863,3.05E-120,0.489763269,0.4,0.145,8.62E-116,Cathepsin11,SMED30003863,Cathepsin,Cat eye syndrome critical region protein 5 homolog
SMED30003863,0,0.38735034,0.495,0.125,0,Cathepsin3,SMED30003863,Cathepsin,Cat eye syndrome critical region protein 5 homolog
SMED30003909,0,0.288780569,0.302,0.064,0,Cathepsin1,SMED30003909,Cathepsin,NA
SMED30003962,0,0.630935234,0.482,0.052,0,Cathepsin12,SMED30003962,Cathepsin,Granulins
SMED30004002,0,0.359680797,0.36,0.037,0,Cathepsin8,SMED30004002,Cathepsin,NA
SMED30004024,5.79E-179,0.277841469,0.257,0.047,1.64E-174,Cathepsin11,SMED30004024,Cathepsin,NA
SMED30004042,6.84E-127,0.254401762,0.295,0.042,1.93E-122,Cathepsin16,SMED30004042,Cathepsin,"Dynein heavy chain 3, axonemal"
SMED30004042,5.25E-169,0.324215215,0.265,0.04,1.48E-164,Cathepsin14,SMED30004042,Cathepsin,"Dynein heavy chain 3, axonemal"
SMED30004112,1.75E-118,0.257783118,0.317,0.051,4.94E-114,Cathepsin16,SMED30004112,Cathepsin,Dynein heavy chain
SMED30004124,2.74E-30,0.294753465,0.465,0.208,7.75E-26,Cathepsin17,SMED30004124,Cathepsin,14-3-3 protein beta/alpha-A
SMED30004147,8.77E-68,0.250306584,0.403,0.173,2.48E-63,Cathepsin12,SMED30004147,Cathepsin,Carboxypeptidase
SMED30004147,5.17E-226,0.265451732,0.391,0.153,1.46E-221,Cathepsin1,SMED30004147,Cathepsin,Carboxypeptidase
SMED30004176,0,0.316468256,0.342,0.025,0,Cathepsin7,SMED30004176,Cathepsin,Calcium binding protein
SMED30004194,0,0.320784682,0.322,0.012,0,Cathepsin15,SMED30004194,Cathepsin,NA
SMED30004214,8.17E-170,0.361490396,0.495,0.169,2.31E-165,Cathepsin9,SMED30004214,Cathepsin,NA
SMED30004241,2.07E-251,0.368211425,0.417,0.127,5.86E-247,Cathepsin5,SMED30004241,Cathepsin,Serine:threonine protein kinase WNK1
SMED30004301,3.04E-13,0.285931657,0.37,0.276,8.60E-09,Cathepsin12,SMED30004301,Cathepsin,Retrovirus-related Pol polyprotein from transposon 412
SMED30004348,1.94E-140,0.463516635,0.563,0.299,5.47E-136,Cathepsin6,SMED30004348,Cathepsin,Alpha-2-macroglobulin-like protein 1
SMED30004348,1.29E-46,-0.281530811,0.169,0.327,3.64E-42,Cathepsin5,SMED30004348,Cathepsin,Alpha-2-macroglobulin-like protein 1
SMED30004348,1.35E-77,-0.371390609,0.093,0.33,3.80E-73,Cathepsin8,SMED30004348,Cathepsin,Alpha-2-macroglobulin-like protein 1
SMED30004348,3.43E-168,-0.363657307,0.107,0.348,9.69E-164,Cathepsin0,SMED30004348,Cathepsin,Alpha-2-macroglobulin-like protein 1
SMED30004348,1.66E-211,0.433073233,0.543,0.287,4.69E-207,Cathepsin1,SMED30004348,Cathepsin,Alpha-2-macroglobulin-like protein 1
SMED30004348,6.43E-114,0.264503551,0.544,0.297,1.82E-109,Cathepsin3,SMED30004348,Cathepsin,Alpha-2-macroglobulin-like protein 1
SMED30004348,1.63E-22,-0.408769205,0.057,0.32,4.60E-18,Cathepsin17,SMED30004348,Cathepsin,Alpha-2-macroglobulin-like protein 1
SMED30004435,1.48E-159,0.273870819,0.416,0.161,4.19E-155,Cathepsin5,SMED30004435,Cathepsin,SLIT-ROBO Rho GTPase-activating 2 protein
SMED30004485,0,1.004533346,0.785,0.101,0,Cathepsin7,SMED30004485,Cathepsin,Collagen alpha 2(I) chain
SMED30004546,0,0.496055535,0.435,0.027,0,Cathepsin15,SMED30004546,Cathepsin,Receptor protein-tyrosine kinase
SMED30004599,0,-0.890129723,0.237,0.659,0,Cathepsin0,SMED30004599,Cathepsin,NA
SMED30004599,0,0.489651856,0.881,0.568,0,Cathepsin1,SMED30004599,Cathepsin,NA
SMED30004599,0,0.735735075,0.946,0.575,0,Cathepsin3,SMED30004599,Cathepsin,NA
SMED30004599,3.18E-40,-0.484002466,0.489,0.609,8.98E-36,Cathepsin9,SMED30004599,Cathepsin,NA
SMED30004599,5.16E-10,-0.258218345,0.598,0.605,1.46E-05,Cathepsin4,SMED30004599,Cathepsin,NA
SMED30004599,9.31E-229,-0.871169548,0.27,0.629,2.63E-224,Cathepsin5,SMED30004599,Cathepsin,NA
SMED30004599,2.02E-180,0.507094968,0.872,0.586,5.72E-176,Cathepsin6,SMED30004599,Cathepsin,NA
SMED30004599,0,-1.112836026,0.075,0.636,0,Cathepsin8,SMED30004599,Cathepsin,NA
SMED30004599,1.65E-206,0.712835089,0.945,0.59,4.65E-202,Cathepsin10,SMED30004599,Cathepsin,NA
SMED30004599,1.13E-67,-0.58188477,0.371,0.614,3.21E-63,Cathepsin11,SMED30004599,Cathepsin,NA
SMED30004599,9.73E-67,-1.076169322,0.077,0.611,2.75E-62,Cathepsin17,SMED30004599,Cathepsin,NA
SMED30004741,2.37E-283,0.305518657,0.379,0.084,6.69E-279,Cathepsin8,SMED30004741,Cathepsin,Protein kinase c eta type
SMED30004783,2.50E-70,0.325232317,0.513,0.26,7.06E-66,Cathepsin12,SMED30004783,Cathepsin,DnaJ homolog subfamily C member 13
SMED30004783,1.20E-185,0.284500822,0.481,0.24,3.39E-181,Cathepsin1,SMED30004783,Cathepsin,DnaJ homolog subfamily C member 13
SMED30004937,5.89E-228,0.561015078,0.731,0.321,1.67E-223,Cathepsin9,SMED30004937,Cathepsin,116 kDa U5 small nuclear ribonucleoprotein component protein
SMED30005039,0,0.654484654,0.663,0.077,0,Cathepsin7,SMED30005039,Cathepsin,Striated muscle preferentially expressed protein kinase
SMED30005046,0,0.666915256,0.558,0.047,0,Cathepsin15,SMED30005046,Cathepsin,"Dynein heavy chain 17, axonemal"
SMED30005127,0,0.572502712,0.688,0.14,0,Cathepsin14,SMED30005127,Cathepsin,Voltage-dependent L-type calcium channel subunit alpha
SMED30005127,2.78E-207,0.590915892,0.69,0.146,7.85E-203,Cathepsin16,SMED30005127,Cathepsin,Voltage-dependent L-type calcium channel subunit alpha
SMED30005127,6.48E-90,0.361188813,0.373,0.146,1.83E-85,Cathepsin11,SMED30005127,Cathepsin,Voltage-dependent L-type calcium channel subunit alpha
SMED30005231,1.76E-116,0.302686173,0.515,0.221,4.98E-112,Cathepsin9,SMED30005231,Cathepsin,Polyadenylate-binding protein 1-B
SMED30005274,1.04E-222,0.281659112,0.402,0.135,2.93E-218,Cathepsin3,SMED30005274,Cathepsin,Tripeptidyl-peptidase 2
SMED30005345,0,0.681169873,0.596,0.073,0,Cathepsin13,SMED30005345,Cathepsin,Vesicle-associated protein
SMED30005517,1.59E-250,0.355683226,0.434,0.071,4.49E-246,Cathepsin14,SMED30005517,Cathepsin,Receptor-type tyrosine-protein phosphatase F
SMED30005517,1.01E-234,0.260248783,0.313,0.067,2.84E-230,Cathepsin8,SMED30005517,Cathepsin,Receptor-type tyrosine-protein phosphatase F
SMED30005551,1.39E-47,0.275295893,0.803,0.534,3.93E-43,Cathepsin14,SMED30005551,Cathepsin,Spectrin alpha chain
SMED30005552,3.58E-199,0.420583514,0.521,0.211,1.01E-194,Cathepsin6,SMED30005552,Cathepsin,NA
SMED30005552,2.60E-115,0.437757249,0.59,0.221,7.34E-111,Cathepsin14,SMED30005552,Cathepsin,NA
SMED30005617,2.61E-223,0.263563436,0.377,0.143,7.38E-219,Cathepsin1,SMED30005617,Cathepsin,Dynamin-1-like protein
SMED30005617,1.55E-194,0.321452041,0.458,0.153,4.37E-190,Cathepsin8,SMED30005617,Cathepsin,Dynamin-1-like protein
SMED30005692,2.44E-287,0.421514823,0.501,0.056,6.90E-283,Cathepsin16,SMED30005692,Cathepsin,Cytoplasmic dynein 2 heavy chain 1
SMED30005747,0,0.313112174,0.32,0.049,0,Cathepsin5,SMED30005747,Cathepsin,NA
SMED30005936,0,1.077098889,0.895,0.175,0,Cathepsin7,SMED30005936,Cathepsin,Titin
SMED30006106,1.59E-34,-0.285254289,0.176,0.359,4.50E-30,Cathepsin11,SMED30006106,Cathepsin,Calcium-activated chloride channel regulator 1
SMED30006106,4.89E-142,0.293763639,0.544,0.327,1.38E-137,Cathepsin1,SMED30006106,Cathepsin,Calcium-activated chloride channel regulator 1
SMED30006106,1.88E-301,0.690088748,0.727,0.33,5.32E-297,Cathepsin8,SMED30006106,Cathepsin,Calcium-activated chloride channel regulator 1
SMED30006144,3.72E-263,0.278887841,0.322,0.099,1.05E-258,Cathepsin1,SMED30006144,Cathepsin,Helicase with zinc finger domain 2
SMED30006180,0,1.09886918,0.842,0.117,0,Cathepsin7,SMED30006180,Cathepsin,Collagen alpha v chain
SMED30006247,3.09E-272,0.293903733,0.351,0.092,8.74E-268,Cathepsin3,SMED30006247,Cathepsin,NA
SMED30006263,0,0.512622255,0.767,0.5,0,Cathepsin0,SMED30006263,Cathepsin,NA
SMED30006263,8.97E-19,-0.271285681,0.482,0.542,2.54E-14,Cathepsin1,SMED30006263,Cathepsin,NA
SMED30006263,1.02E-31,-0.418583585,0.465,0.541,2.88E-27,Cathepsin3,SMED30006263,Cathepsin,NA
SMED30006263,4.10E-19,-0.425650804,0.456,0.539,1.16E-14,Cathepsin10,SMED30006263,Cathepsin,NA
SMED30006263,2.27E-23,0.335736374,0.646,0.531,6.42E-19,Cathepsin11,SMED30006263,Cathepsin,NA
SMED30006263,3.45E-11,-0.259782707,0.487,0.539,9.76E-07,Cathepsin6,SMED30006263,Cathepsin,NA
SMED30006263,0,1.459153645,0.99,0.52,0,Cathepsin13,SMED30006263,Cathepsin,NA
SMED30006263,7.29E-41,-0.391435397,0.4,0.544,2.06E-36,Cathepsin7,SMED30006263,Cathepsin,NA
SMED30006263,5.60E-28,-0.384311866,0.431,0.541,1.58E-23,Cathepsin8,SMED30006263,Cathepsin,NA
SMED30006263,4.04E-08,-0.300359079,0.413,0.537,0.001142441,Cathepsin16,SMED30006263,Cathepsin,NA
SMED30006263,1.04E-36,-0.485807658,0.392,0.542,2.94E-32,Cathepsin9,SMED30006263,Cathepsin,NA
SMED30006263,1.33E-14,-0.344387151,0.427,0.539,3.76E-10,Cathepsin12,SMED30006263,Cathepsin,NA
SMED30006263,1.81E-26,-0.491592245,0.363,0.54,5.12E-22,Cathepsin14,SMED30006263,Cathepsin,NA
SMED30006263,1.27E-12,-0.344047558,0.424,0.538,3.58E-08,Cathepsin15,SMED30006263,Cathepsin,NA
SMED30006311,0,0.336032254,0.366,0.027,0,Cathepsin7,SMED30006311,Cathepsin,Calponin
SMED30006386,0,0.362583087,0.419,0.102,0,Cathepsin5,SMED30006386,Cathepsin,Ceroid-lipofuscinosis neuronal protein 5
SMED30006652,3.14E-94,0.253226186,0.327,0.064,8.88E-90,Cathepsin16,SMED30006652,Cathepsin,"Dynein heavy chain 1, axonemal"
SMED30006684,2.63E-133,0.276400693,0.366,0.086,7.44E-129,Cathepsin14,SMED30006684,Cathepsin,Calsyntenin
SMED30006762,6.71E-69,-0.279304348,0.515,0.73,1.90E-64,Cathepsin4,SMED30006762,Cathepsin,Transposon Ty3-G Gag-Pol polyprotein
SMED30006762,1.20E-97,0.30191854,0.849,0.704,3.39E-93,Cathepsin3,SMED30006762,Cathepsin,Transposon Ty3-G Gag-Pol polyprotein
SMED30006762,1.07E-38,-0.301115195,0.63,0.719,3.02E-34,Cathepsin9,SMED30006762,Cathepsin,Transposon Ty3-G Gag-Pol polyprotein
SMED30006904,0,0.581540731,0.529,0.101,0,Cathepsin5,SMED30006904,Cathepsin,Two pore calcium channel protein 2
SMED30006931,8.76E-249,0.366092287,0.411,0.062,2.48E-244,Cathepsin15,SMED30006931,Cathepsin,NA
SMED30007055,3.23E-225,0.522577881,0.605,0.104,9.14E-221,Cathepsin16,SMED30007055,Cathepsin,Dynein heavy chain axonemal
SMED30007055,2.86E-186,0.357085332,0.476,0.103,8.08E-182,Cathepsin15,SMED30007055,Cathepsin,Dynein heavy chain axonemal
SMED30007095,1.08E-11,-0.331067671,0.92,0.942,3.04E-07,Cathepsin17,SMED30007095,Cathepsin,TNF receptor-associated factor
SMED30007095,4.59E-54,-0.28429382,0.894,0.945,1.30E-49,Cathepsin4,SMED30007095,Cathepsin,TNF receptor-associated factor
SMED30007095,1.98E-108,0.295260445,0.979,0.938,5.60E-104,Cathepsin2,SMED30007095,Cathepsin,TNF receptor-associated factor
SMED30007095,4.56E-145,-0.624175202,0.829,0.947,1.29E-140,Cathepsin9,SMED30007095,Cathepsin,TNF receptor-associated factor
SMED30007095,3.96E-187,-0.440566957,0.921,0.945,1.12E-182,Cathepsin0,SMED30007095,Cathepsin,TNF receptor-associated factor
SMED30007095,5.16E-72,-0.464723275,0.881,0.944,1.46E-67,Cathepsin11,SMED30007095,Cathepsin,TNF receptor-associated factor
SMED30007095,0,0.653673673,0.992,0.937,0,Cathepsin3,SMED30007095,Cathepsin,TNF receptor-associated factor
SMED30007161,1.18E-211,0.304138053,0.368,0.119,3.34E-207,Cathepsin3,SMED30007161,Cathepsin,NA
SMED30007179,0,0.272365444,0.305,0.008,0,Cathepsin16,SMED30007179,Cathepsin,PKD2-4
SMED30007302,2.01E-114,0.285307108,0.558,0.324,5.69E-110,Cathepsin3,SMED30007302,Cathepsin,Transposon Ty3-I Gag-Pol polyprotein
SMED30007599,1.34E-76,0.33301518,0.466,0.184,3.80E-72,Cathepsin15,SMED30007599,Cathepsin,NA
SMED30007698,1.04E-247,0.371271336,0.461,0.135,2.94E-243,Cathepsin8,SMED30007698,Cathepsin,DNA polymerase
SMED30007698,3.31E-170,0.303954247,0.382,0.136,9.36E-166,Cathepsin5,SMED30007698,Cathepsin,DNA polymerase
SMED30007704,5.55E-113,0.416574596,0.682,0.426,1.57E-108,Cathepsin6,SMED30007704,Cathepsin,Actin-2
SMED30007704,1.31E-135,-0.487604541,0.254,0.471,3.71E-131,Cathepsin0,SMED30007704,Cathepsin,Actin-2
SMED30007704,1.58E-14,-0.279454908,0.379,0.447,4.48E-10,Cathepsin7,SMED30007704,Cathepsin,Actin-2
SMED30007704,1.21E-148,-0.607071713,0.203,0.467,3.43E-144,Cathepsin2,SMED30007704,Cathepsin,Actin-2
SMED30007704,3.60E-28,-0.672009046,0.137,0.447,1.02E-23,Cathepsin17,SMED30007704,Cathepsin,Actin-2
SMED30007704,3.86E-34,-0.442474276,0.273,0.45,1.09E-29,Cathepsin11,SMED30007704,Cathepsin,Actin-2
SMED30007704,2.40E-254,0.795440916,0.844,0.425,6.77E-250,Cathepsin9,SMED30007704,Cathepsin,Actin-2
SMED30007704,5.28E-126,-0.677327416,0.143,0.461,1.49E-121,Cathepsin8,SMED30007704,Cathepsin,Actin-2
SMED30007704,3.77E-54,-0.476484676,0.324,0.453,1.06E-49,Cathepsin3,SMED30007704,Cathepsin,Actin-2
SMED30007704,0,0.817021506,0.853,0.413,0,Cathepsin5,SMED30007704,Cathepsin,Actin-2
SMED30007704,1.62E-154,0.403632568,0.649,0.416,4.59E-150,Cathepsin1,SMED30007704,Cathepsin,Actin-2
SMED30007882,2.54E-299,0.953280683,0.904,0.448,7.18E-295,Cathepsin10,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,6.16E-192,0.363761271,0.747,0.438,1.74E-187,Cathepsin2,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,4.94E-17,-0.408322788,0.394,0.469,1.40E-12,Cathepsin9,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,0,1.016053023,0.93,0.426,0,Cathepsin3,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,2.44E-27,-0.487353739,0.322,0.471,6.90E-23,Cathepsin12,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,7.17E-31,-0.449088237,0.308,0.473,2.03E-26,Cathepsin11,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,0,-0.781464257,0.141,0.515,0,Cathepsin0,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,3.86E-89,0.2992557,0.706,0.45,1.09E-84,Cathepsin6,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,7.14E-44,-0.867329029,0.057,0.471,2.02E-39,Cathepsin17,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,1.71E-127,-0.692622261,0.211,0.485,4.83E-123,Cathepsin5,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,6.74E-42,-0.449180848,0.34,0.475,1.91E-37,Cathepsin4,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007882,5.93E-208,-0.892042057,0.049,0.491,1.68E-203,Cathepsin8,SMED30007882,Cathepsin,C-type lectin-like protein
SMED30007916,0,0.325116877,0.265,0.005,0,Cathepsin12,SMED30007916,Cathepsin,Zinc finger protein 846
SMED30008024,1.08E-97,0.389406905,0.432,0.167,3.07E-93,Cathepsin12,SMED30008024,Cathepsin,"Zinc finger, NFX1-type containing 1"
SMED30008266,8.38E-118,0.360056519,0.385,0.131,2.37E-113,Cathepsin11,SMED30008266,Cathepsin,slc2a-1
SMED30008266,0,0.499633986,0.566,0.104,0,Cathepsin3,SMED30008266,Cathepsin,slc2a-1
SMED30008266,6.85E-142,0.286827501,0.418,0.129,1.94E-137,Cathepsin10,SMED30008266,Cathepsin,slc2a-1
SMED30008553,2.66E-168,0.355821893,0.485,0.158,7.51E-164,Cathepsin10,SMED30008553,Cathepsin,Phosphoenolpyruvate carboxykinase [GTP]
SMED30008556,0,0.432880579,0.417,0.055,0,Cathepsin8,SMED30008556,Cathepsin,NA
SMED30008556,1.62E-112,0.405293005,0.411,0.071,4.58E-108,Cathepsin17,SMED30008556,Cathepsin,NA
SMED30008640,3.01E-229,-0.746623645,0.208,0.492,8.51E-225,Cathepsin0,SMED30008640,Cathepsin,Receptor-type tyrosine-protein phosphatase F
